Event_type,Issued_time,Country,Areas,Regions,Date
Special Weather Statement issued September 16 at 7:44PM CDT  by NWS NorthPlatteSpecial Weather Statement,10 minutes ago,United States of America,Custer; Logan; McPherson,"Region IV - North America, Central America and the CaribbeanRegion V - South West Pacific",2022-09-17 03:24
"Warning to Sheep Graziers for North Central, North East, South West, Central and West and South Gippsland forecast districtsSheep Grazier Warning",11 minutes ago,Australia,"Victoria: North Central, North East, South West, Central and West and South Gippsland forecast districts...",Region V - South West Pacific,2022-09-17 03:24
Severe Weather Statement issued September 16 at 7:42PM CDT until September 17 at 1:00AM CDT by NWS NorthPlatteSevere Weather Statement,12 minutes ago,United States of America,Brown,"Region IV - North America, Central America and the CaribbeanRegion V - South West Pacific",2022-09-17 03:24
Severe Weather Statement issued September 16 at 7:42PM CDT until September 16 at 8:30PM CDT by NWS NorthPlatteSevere Weather Statement,12 minutes ago,United States of America,Cherry,"Region IV - North America, Central America and the CaribbeanRegion V - South West Pacific",2022-09-17 03:24
Severe Thunderstorm Warning issued September 16 at 7:42PM CDT until September 16 at 8:00PM CDT by NWS NorthPlatteSevere Thunderstorm Warning,12 minutes ago,United States of America,Brown; Cherry,"Region IV - North America, Central America and the CaribbeanRegion V - South West Pacific",2022-09-17 03:24
special weather statement in effectweather,13 minutes ago,Canada,Timmins - Cochrane - Iroquois Falls; Gogama - Foleyet; Kirkland Lake - Englehart...,"Region IV - North America, Central America and the Caribbean",2022-09-17 03:24
"Warning to Sheep Graziers for Central Tablelands, Southern Tablelands, South West Slopes, Snowy Mountains and Australian Capital Territory forecast districtsSheep Grazier Warning",14 minutes ago,Australia,"New South Wales: Central Tablelands, Southern Tablelands, South West Slopes, Snowy Mountains and Australian Capital Territory forecast districts...",Region V - South West Pacific,2022-09-17 03:24
"Severe Weather Warning for Illawarra, South Coast, Central Tablelands and Southern Tablelands forecast districtsWeather",15 minutes ago,Australia,"New South Wales: Illawarra, South Coast, Central Tablelands and Southern Tablelands...",Region V - South West Pacific,2022-09-17 03:24
Severe Thunderstorm Warning issued September 16 at 7:38PM CDT until September 16 at 8:30PM CDT by NWS NorthPlatteSevere Thunderstorm Warning,16 minutes ago,United States of America,Brown; Cherry; Keya Paha; Rock,"Region IV - North America, Central America and the CaribbeanRegion V - South West Pacific",2022-09-17 03:24
Huichang Meteorological Station issued a yellow high temperature warning [Level III/severe]high temperature,16 minutes ago,China,Huichang County,Region II - Asia,2022-09-17 03:24
Chongyi County Meteorological Station issued a yellow high temperature warning [Level III/severe]high temperature,16 minutes ago,China,Chongyi County,Region II - Asia,2022-09-17 03:24
"Severe Weather Warning for Mallee, Wimmera and South West forecast districtsWeather",17 minutes ago,Australia,"Victoria: Mallee, South West and Wimmera",Region V - South West Pacific,2022-09-17 03:24
Gale Force Wind Warning for coastal waters between Murray Mouth and SA-VIC Border and for South Central Coast for 17 SeptemberWind,18 minutes ago,Australia,"South Australia: South Central Coast, Upper South East Coast and Lower South East Coast...",Region V - South West Pacific,2022-09-17 03:24
